Date,Open,High,Low,Close,Adj Close,Volume
2020-11-10,87.120003,87.970001,86.699997,87.779999,80.634590,1992200
2020-11-11,88.379997,88.379997,87.209999,87.650002,80.515175,1404700
2020-11-12,87.089996,87.089996,85.699997,86.349998,79.320992,2780100
2020-11-13,86.879997,88.129997,86.820000,87.839996,80.689697,1466200
2020-11-16,89.339996,89.470001,88.570000,89.400002,82.122719,1766400
2020-11-17,88.769997,89.269997,88.260002,88.949997,81.709358,1216000
2020-11-18,89.300003,89.550003,87.949997,87.970001,80.809120,1526900
2020-11-19,87.849998,88.269997,87.279999,88.180000,81.002037,1169300
2020-11-20,88.160004,88.339996,87.709999,87.849998,80.698891,1068200
2020-11-23,88.440002,89.129997,88.269997,89.000000,81.755287,1309800
2020-11-24,89.959999,91.059998,89.900002,91.040001,83.629227,1814000
2020-11-25,90.769997,90.769997,90.099998,90.449997,83.087257,1285400
2020-11-27,90.660004,90.739998,90.110001,90.339996,82.986206,661600
2020-11-30,90.040001,90.080002,89.120003,89.290001,82.021675,2492800
2020-12-01,90.379997,91.019997,90.139999,90.160004,82.820847,1285000
2020-12-02,90.110001,90.750000,90.019997,90.699997,83.316895,1057500
2020-12-03,90.760002,91.180000,90.449997,90.769997,83.381203,1271400
2020-12-04,91.110001,92.070000,91.099998,92.070000,84.575371,1798200
2020-12-07,91.720001,91.730003,91.150002,91.459999,84.015038,1550600
2020-12-08,91.059998,92.180000,91.010002,92.040001,84.547821,1286100
2020-12-09,92.339996,92.550003,91.660004,92.099998,84.602943,1247000
2020-12-10,91.809998,92.000000,91.470001,91.849998,84.373283,1443600
2020-12-11,91.279999,91.629997,90.839996,91.500000,84.051773,1145500
2020-12-14,92.300003,92.320000,90.550003,90.550003,83.179115,1742800
2020-12-15,91.209999,91.870003,90.800003,91.779999,84.308983,1515200
2020-12-16,91.889999,91.910004,91.379997,91.629997,84.171196,1199000
2020-12-17,91.980003,91.980003,91.589996,91.839996,84.364105,1617800
2020-12-18,92.000000,92.000000,91.000000,91.559998,84.106888,2191500
2020-12-21,89.849998,90.449997,88.970001,90.180000,83.578606,2452300
2020-12-22,90.169998,90.169998,89.459999,89.510002,82.957664,2576400
2020-12-23,89.949997,90.519997,89.790001,90.190002,83.587883,1402400
2020-12-24,90.339996,90.379997,89.870003,90.379997,83.763969,1185600
2020-12-28,90.930000,91.309998,90.470001,90.610001,83.977142,1514700
2020-12-29,91.029999,91.029999,90.169998,90.470001,83.847382,1317100
2020-12-30,90.570000,91.010002,90.559998,90.739998,84.097626,1119200
2020-12-31,90.730003,91.620003,90.459999,91.510002,84.811264,1063600
2021-01-04,91.790001,91.820000,89.580002,90.400002,83.782509,3206300
2021-01-05,90.349998,91.570000,90.110001,91.169998,84.496147,3158500
2021-01-06,91.629997,94.010002,91.629997,93.459999,86.618507,2007300
2021-01-07,93.949997,94.529999,93.690002,94.010002,87.128242,1911900
2021-01-08,94.269997,94.279999,93.199997,94.029999,87.146782,1671600
2021-01-11,93.480003,94.629997,93.459999,94.459999,87.545319,1986300
2021-01-12,94.599998,95.169998,94.389999,94.989998,88.036514,2009700
2021-01-13,94.989998,95.320000,94.709999,95.050003,88.092125,1335300
2021-01-14,95.320000,96.089996,95.110001,95.629997,88.629662,2036600
2021-01-15,94.910004,95.000000,93.930000,94.639999,87.712135,2908100
2021-01-19,95.279999,95.300003,94.800003,95.070000,88.110657,2186700
2021-01-20,95.260002,95.260002,94.709999,95.089996,88.129196,2423600
2021-01-21,95.019997,95.040001,94.320000,94.559998,87.637993,1320200
2021-01-22,93.699997,94.290001,93.459999,94.059998,87.174583,1693600
2021-01-25,93.680000,94.269997,93.250000,94.260002,87.359962,1793800
